order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,13,1,40,6,2.5,-30,1,0,0,90,0
1,1,1,13,1.2,40,6,2.5,-30,1,0,0,90,0
2,1,1,13,1.4,40,6,2.5,-30,1,0,0,90,0
3,1,1,13,1.6,40,6,2.5,-30,1,0,0,90,0
4,1,1,13,1.8,40,6,2.5,-30,1,0,0,90,0
5,1,1,13,2,40,6,2.5,-30,1,0,0,90,0
6,6,1,18,2,10,2,10,-30,5,10,0,90,0
7,1,1,13,2.2,40,6,2.5,-30,1,0,0,90,0
8,1,1,13,2.4,40,6,2.5,-30,1,0,0,90,0
9,1,1,13,2.6,40,6,2.5,-30,1,0,0,90,0
10,1,1,13,2.8,40,6,2.5,-30,1,0,0,90,0
11,1,1,13,3,40,6,2.5,-30,1,0,0,90,0
12,6,1,18,3,10,2,10,-30,10,-10,0,90,0
13,1,1,13,3.2,40,6,2.5,-30,1,0,0,90,0
14,1,1,13,3.4,40,6,2.5,-30,1,0,0,90,0
15,1,1,13,3.6,40,6,2.5,-30,1,0,0,90,0
16,1,1,13,3.8,40,6,2.5,-30,1,0,0,90,0
17,1,1,13,4,40,6,2.5,-30,1,0,0,90,0
18,6,1,18,4,10,2,10,-30,5,-5,0,90,0
19,1,1,13,4.2,40,6,2.5,-30,1,0,0,90,0
20,1,1,13,4.4,40,6,2.5,-30,1,0,0,90,0
21,1,1,13,4.6,40,6,2.5,-30,1,0,0,90,0
22,1,1,13,4.8,40,6,2.5,-30,1,0,0,90,0
23,1,1,13,5,40,6,2.5,-30,1,0,0,90,0
24,1,1,13,5.2,40,6,2.5,-30,1,0,0,90,0
25,1,1,13,5.4,40,6,2.5,-30,1,0,0,90,0
26,6,1,18,5.5,10,2,10,-30,7,0,0,90,0
27,1,1,18,5.5,10,30,10,-30,30,0,0,90,0
28,1,1,13,5.6,40,6,2.5,-30,1,0,0,90,0
29,1,1,13,5.8,40,6,2.5,-30,1,0,0,90,0
30,1,1,13,6,40,6,2.5,-30,1,0,0,90,0
31,1,1,13,6.2,40,6,2.5,-30,1,0,0,90,0
32,1,1,13,6.4,40,6,2.5,-30,1,0,0,90,0
33,6,1,18,5.5,10,2,10,-30,10,0,0,90,0
34,1,1,18,5.5,10,30,10,-30,33,0,0,90,0
35,1,1,13,6.6,40,6,2.5,-30,1,0,0,90,0
36,1,1,13,6.8,40,6,2.5,-30,1,0,0,90,0
37,1,1,13,7,40,6,2.5,-30,1,0,0,90,0
38,1,1,13,7.2,40,6,2.5,-30,1,0,0,90,0
39,1,1,13,7.4,40,6,2.5,-30,1,0,0,90,0
40,6,1,18,5.5,10,2,10,-30,13,5,0,90,0
41,1,1,13,7.6,40,6,2.5,-30,1,0,0,90,0
42,1,1,13,7.8,40,6,2.5,-30,1,0,0,90,0
36,1,1,50,9,40,35,9,-30,1,0,0,90,0
36,1,1,20,9.5,40,35,10,30,27,0,0,-90,0
