order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
-1,6,1,15,1,15,1,20,-30,9,0,0,90,0
-1,6,1,15,4,15,1,20,-30,9,0,0,90,0
-2,6,1,15,1,15,1,20,30,9,15,0,-90,0
-2,6,1,15,4,15,1,20,30,9,15,0,-90,0
-3,6,1,15,1,15,1,10,30,4,0,0,-90,0
-3,6,1,15,4,15,1,10,30,4,0,0,-90,0
-4,6,1,15,1,15,1,10,-30,4,15,0,90,0
-4,6,1,15,4,15,1,10,-30,4,15,0,90,0
-5,6,1,15,1,15,1,10,-30,4,-15,0,90,0
-5,6,1,15,4,15,1,10,-30,4,-15,0,90,0
-6,6,1,15,1,15,1,20,30,9,-15,0,-90,0
-6,6,1,15,4,15,1,20,30,9,-15,0,-90,0
-7,1,1,15,1,40,4,2,30,2,0,0,-90,0
-7,1,1,15,4,40,4,2,30,2,0,0,-90,0
-8,1,1,15,2,40,4,2,-30,6,0,0,90,0
-8,1,1,15,5,40,4,2,-30,6,0,0,90,0
-9,1,1,15,3,40,4,2,-30,6,0,0,90,0
-9,1,1,15,6,40,4,2,-30,6,0,0,90,0
-10,1,1,15,6,40,4,2,30,12,0,0,-90,0
-10,1,1,15,10,40,4,2,30,12,0,0,-90,0
