order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
-1,6,1,20,1,1,15,17,7.5,5,-30,0,0,0
-1,6,1,20,2.5,1,15,17,7.5,5,-30,0,0,0
-2,6,1,20,1,1,15,17,-7.5,5,30,0,180,0
-2,6,1,20,2.5,1,15,17,-7.5,5,30,0,180,0
0,4,0,0,2,15,15,15,-15,0,30,0,180,0
1,4,0,0,2,15,15,15,0,0,30,0,180,0
2,4,0,0,4,15,15,15,-15,0,30,0,180,0
3,4,0,0,4,15,15,15,15,0,30,0,180,0
4,4,0,0,6,15,15,15,0,0,30,0,180,0
5,4,0,0,6,15,15,15,-15,0,30,0,180,0
6,4,0,0,8,15,15,15,15,0,30,0,180,0
7,4,0,0,8,15,15,15,-15,0,30,0,180,0
