order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,7,0,0,0.7,5,5,5,-28,2,12,0,0,0
1,7,0,0,0.7,5,5,5,34,3,-30,0,0,0
2,7,0,0,1.4,5,5,5,12,4,37,0,0,0
3,7,0,0,1.4,5,5,5,-45,8,-35,0,0,0
4,7,0,0,2.1,5,5,5,-38,2,-33,0,0,0
5,7,0,0,2.1,5,5,5,17,5,29,0,0,0
6,7,0,0,2.8,5,5,5,28,1,26,0,0,0
7,7,0,0,2.8,5,5,5,-42,8,19,0,0,0
8,7,0,0,3.5,5,5,5,-35,6,30,0,0,0
9,7,0,0,3.5,5,5,5,39,3,-7,0,0,0
10,7,0,0,4.2,5,5,5,26,8,30,0,0,0
11,7,0,0,4.2,5,5,5,-47,3,5,0,0,0
12,7,0,0,4.9,5,5,5,-50,2,-20,0,0,0
13,7,0,0,4.9,5,5,5,45,3,-28,0,0,0
14,7,0,0,5.6,5,5,5,36,8,20,0,0,0
15,7,0,0,5.6,5,5,5,-52,1,18,0,0,0
16,7,0,0,6.3,5,5,5,-40,2,-30,0,0,0
17,7,0,0,6.3,5,5,5,38,3,-12,0,0,0
18,7,0,0,7,5,5,5,33,8,-20,0,0,0
19,7,0,0,7,5,5,5,-58,3,22,0,0,0
20,7,0,0,7.7,5,5,5,-46,5,-30,0,0,0
21,7,0,0,7.7,5,5,5,30,1,-15,0,0,0
22,7,0,0,8.4,5,5,5,42,2,20,0,0,0
23,7,0,0,8.4,5,5,5,-40,8,26,0,0,0
