order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,45,1,3,37,3,30,0,22,0,-90,90
1,1,1,45,1,3,37,3,30,0,-18,0,-90,90
2,1,1,45,1.2,3,37,3,30,0,21,0,-90,90
3,1,1,45,1.2,3,37,3,30,0,-20,0,-90,90
4,1,1,45,1.4,3,37,3,30,0,20,0,-90,90
5,1,1,45,1.4,3,37,3,30,0,-21,0,-90,90
6,1,1,45,1.6,3,37,3,30,0,19,0,-90,90
7,1,1,45,1.6,3,37,3,30,0,-22,0,-90,90
8,1,1,45,1.8,3,37,3,30,0,18,0,-90,90
9,1,1,45,1.8,3,37,3,30,0,-23,0,-90,90
10,1,1,45,2,3,37,3,30,0,17,0,-90,90
11,1,1,45,2,3,37,3,30,0,-24,0,-90,90
12,1,1,45,2.2,3,37,3,30,0,16,0,-90,90
13,1,1,45,2.2,3,37,3,30,0,-25,0,-90,90
14,1,1,45,2.4,3,37,3,30,0,15,0,-90,90
15,1,1,45,2.4,3,37,3,30,0,-26,0,-90,90
16,1,1,45,2.6,3,37,3,30,0,14,0,-90,90
17,1,1,45,2.6,3,37,3,30,0,-27,0,-90,90
18,1,1,45,2.8,3,37,3,30,0,13,0,-90,90
19,1,1,45,2.8,3,37,3,30,0,-28,0,-90,90
20,1,1,45,3,3,37,3,30,0,12,0,-90,90
21,1,1,45,3,3,37,3,30,0,-29,0,-90,90
22,1,1,45,3.2,3,37,3,30,0,11,0,-90,90
23,1,1,45,3.2,3,37,3,30,0,-30,0,-90,90
24,1,1,45,3.4,3,37,3,30,0,12,0,-90,90
25,1,1,45,3.4,3,37,3,30,0,-29,0,-90,90
26,1,1,45,3.6,3,37,3,30,0,13,0,-90,90
27,1,1,45,3.6,3,37,3,30,0,-28,0,-90,90
28,1,1,45,3.8,3,37,3,30,0,14,0,-90,90
29,1,1,45,3.8,3,37,3,30,0,-27,0,-90,90
30,1,1,45,4,3,37,3,30,0,15,0,-90,90
31,1,1,45,4,3,37,3,30,0,-26,0,-90,90
32,1,1,45,4.2,3,37,3,30,0,16,0,-90,90
33,1,1,45,4.2,3,37,3,30,0,-25,0,-90,90
34,1,1,45,4.4,3,37,3,30,0,17,0,-90,90
35,1,1,45,4.4,3,37,3,30,0,-24,0,-90,90
36,8,0,0,5,0,0,0,0,0,0,0,0,0
37,1,1,25,5.2,40,10,4,30,0,0,0,-90,0
38,1,1,25,5.2,40,10,4,-30,12,0,0,90,0
39,6,0,0,5.2,10,1,10,0,4,0,0,0,0
40,8,0,0,7,0,0,0,0,0,0,0,0,0
41,4,0,30,7.2,11,11,11,25,2,-25,0,-45,0
42,4,0,30,7.2,11,11,11,-25,2,-25,0,45,0
43,8,0,0,9.5,0,0,0,0,0,0,0,0,0
44,1,1,25,9.7,40,10,4,-30,0,0,0,90,0
45,1,1,25,9.7,40,10,4,30,12,0,0,-90,0
46,6,0,0,9.7,10,1,10,0,4,0,0,0,0
47,8,0,0,11.5,0,0,0,0,0,0,0,0,0
48,1,1,10,11.5,40,4,2.5,30,1,0,0,-90,0
49,1,1,10,11.5,40,12,2.5,-30,9,0,0,90,0
50,1,1,10,12.5,40,4,2.5,30,1,0,0,-90,0
51,1,1,10,12.5,40,12,2.5,-30,9,0,0,90,0
52,1,1,10,13.5,40,4,2.5,30,1,0,0,-90,0
53,1,1,10,13.5,40,12,2.5,-30,9,0,0,90,0
54,1,1,10,14.5,40,4,2.5,30,1,0,0,-90,0
55,1,1,10,14.5,40,12,2.5,-30,9,0,0,90,0
56,1,1,10,15.5,40,4,2.5,30,1,0,0,-90,0
57,1,1,10,15.5,40,12,2.5,-30,9,0,0,90,0
47,8,0,0,17,0,0,0,0,0,0,0,0,0
