order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,25,1,40,6,4,30,0,0,0,-90,0
1,1,1,25,1.2,40,6,4,30,0,0,0,-90,0
2,1,1,25,1.4,40,6,4,30,0,0,0,-90,0
3,1,1,25,1.6,40,6,4,30,0,0,0,-90,0
4,1,1,25,1.8,40,6,4,30,0,0,0,-90,0
5,1,1,25,2,40,3,4,30,0,0,0,-90,0
6,1,1,25,2.2,40,3,4,30,0,0,0,-90,0
7,1,1,25,2.4,40,3,4,30,0,0,0,-90,0
8,1,1,25,2.6,40,3,4,30,0,0,0,-90,0
9,1,1,25,2.8,40,3,4,30,0,0,0,-90,0
10,8,0,0,2.8,0,0,0,0,0,0,0,0,0
11,2,1,25,3,40,20,4,30,0,0,0,-90,0
12,2,1,25,3,40,20,4,-30,0,0,0,90,0
13,1,1,25,3.5,40,3,4,30,0,0,0,-90,0
14,1,1,25,3.5,40,3,4,-30,0,0,0,90,0
15,1,1,25,3.8,40,20,4,30,0,0,0,-90,0
16,1,1,25,3.8,40,20,4,-30,0,0,0,90,0
17,8,0,0,4.8,0,0,0,0,0,0,0,0,0
18,1,1,25,5,40,8,4,30,0,0,0,-90,0
19,1,1,25,5,40,8,4,-30,0,0,0,90,0
20,1,1,25,5.2,40,8,4,30,0,0,0,-90,0
21,1,1,25,5.2,40,8,4,-30,0,0,0,90,0
22,1,1,25,5.4,40,20,4,30,0,0,0,-90,0
23,1,1,25,5.4,40,20,4,-30,0,0,0,90,0
24,8,0,0,6.5,0,0,0,0,0,0,0,0,0
25,1,1,25,6.8,40,6,4,-30,0,0,0,90,0
26,1,1,25,7,40,6,4,-30,0,0,0,90,0
27,1,1,25,7.2,40,6,4,-30,0,0,0,90,0
28,1,1,25,7.4,40,6,4,-30,0,0,0,90,0
29,1,1,25,7.6,40,6,4,-30,0,0,0,90,0
30,1,1,25,7.8,40,3,4,-30,0,0,0,90,0
31,1,1,25,8,40,3,4,-30,0,0,0,90,0
32,1,1,25,8.2,40,3,4,-30,0,0,0,90,0
33,1,1,25,8.4,40,3,4,-30,0,0,0,90,0
34,1,1,25,8.6,40,3,4,-30,0,0,0,90,0
35,8,0,0,8.6,0,0,0,0,0,0,0,0,0
36,1,1,25,8.8,40,6,4,30,0,0,0,-90,0
37,1,1,25,9,40,6,4,30,0,0,0,-90,0
38,1,1,25,9.2,40,6,4,30,0,0,0,-90,0
39,1,1,25,9.4,40,6,4,30,0,0,0,-90,0
40,1,1,25,9.6,40,6,4,30,0,0,0,-90,0
41,1,1,25,9.8,40,3,4,30,0,0,0,-90,0
42,1,1,25,10,40,3,4,30,0,0,0,-90,0
43,1,1,25,10.2,40,3,4,30,0,0,0,-90,0
44,1,1,25,10.4,40,3,4,30,0,0,0,-90,0
45,1,1,25,10.6,40,3,4,30,0,0,0,-90,0
