order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,25,1,40,6,3,30,9,0,0,-90,0
1,1,1,25,1,40,6,3,30,-1,0,0,-90,0
2,1,1,25,1,40,6,3,-30,9,0,0,90,0
3,1,1,25,1,40,6,3,-30,-1,0,0,90,0
4,1,1,25,2,40,6,3,30,9,0,0,-90,0
5,1,1,25,2,40,6,3,30,-1,0,0,-90,0
6,1,1,25,2,40,6,3,-30,9,0,0,90,0
7,1,1,25,2,40,6,3,-30,-1,0,0,90,0
8,1,1,25,3,40,6,3,30,9,0,0,-90,0
9,1,1,25,3,40,6,3,30,-1,0,0,-90,0
10,1,1,25,3,40,6,3,-30,9,0,0,90,0
11,1,1,25,3,40,6,3,-30,-1,0,0,90,0
12,1,1,25,4,40,6,3,30,9,0,0,-90,0
13,1,1,25,4,40,6,3,30,-1,0,0,-90,0
14,1,1,25,4,40,6,3,-30,9,0,0,90,0
15,1,1,25,4,40,6,3,-30,-1,0,0,90,0
16,1,1,25,5,40,6,3,30,9,0,0,-90,0
17,1,1,25,5,40,6,3,30,-1,0,0,-90,0
18,1,1,25,5,40,6,3,-30,9,0,0,90,0
19,1,1,25,5,40,6,3,-30,-1,0,0,90,0
20,1,1,25,6,40,6,3,30,9,0,0,-90,0
21,1,1,25,6,40,6,3,30,-1,0,0,-90,0
22,1,1,25,6,40,6,3,-30,9,0,0,90,0
23,1,1,25,6,40,6,3,-30,-1,0,0,90,0
24,1,1,25,7,40,6,3,30,9,0,0,-90,0
25,1,1,25,7,40,6,3,30,-1,0,0,-90,0
26,1,1,25,7,40,6,3,-30,9,0,0,90,0
27,1,1,25,7,40,6,3,-30,-1,0,0,90,0
28,1,1,25,8,40,6,3,30,9,0,0,-90,0
29,1,1,25,8,40,6,3,30,-1,0,0,-90,0
30,1,1,25,8,40,6,3,-30,9,0,0,90,0
31,1,1,25,8,40,6,3,-30,-1,0,0,90,0
32,1,1,25,9,40,6,3,30,9,0,0,-90,0
33,1,1,25,9,40,6,3,30,-1,0,0,-90,0
34,1,1,25,9,40,6,3,-30,9,0,0,90,0
35,1,1,25,9,40,6,3,-30,-1,0,0,90,0
32,1,1,25,10,40,6,3,30,9,0,0,-90,0
33,1,1,25,10,40,6,3,30,-1,0,0,-90,0
34,1,1,25,10,40,6,3,-30,9,0,0,90,0
35,1,1,25,10,40,6,3,-30,-1,0,0,90,0
