order,type,isMove,speed,genTime,sizeY,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,2,1,10,0,1.5,45,0,10,0,0,0
1,2,1,10,0.5,1.5,-45,0,10,0,0,0
2,1,1,15,1,1,-50,0,20,0,0,0
3,1,1,15,1.2,1,50,0,-20,0,0,0
4,1,1,15,1.5,1,-55,0,25,0,0,0
5,1,1,15,2,1,55,0,-25,0,0,0
6,3,1,0,2.5,2,35,0,-50,0,0,0
7,1,1,12,3,1,50,0,30,0,0,0
8,1,1,12,3.5,1,-50,0,-30,0,0,0
9,4,0,0,4,2.5,0,0,0,0,180,0
10,1,1,10,4.5,1,45,0,35,0,0,0
11,1,1,10,5,1,-45,0,-35,0,0,0
12,1,1,12,5.5,1.5,50,0,30,0,0,0
13,1,1,12,6,1.5,-50,0,-30,0,0,0
14,5,0,0,6.5,3,0,1,0,0,-90,0
15,6,1,8,7,2,0,-40,0,0,0,90
16,1,1,12,7.5,1.5,55,0,35,0,0,0
17,1,1,12,8,1.5,-55,0,-35,0,0,0
18,1,1,15,8.5,1,-60,0,40,0,0,0
19,1,1,15,9,1,60,0,-40,0,0,0
20,2,1,10,9.5,1.5,-40,0,40,0,0,0
21,1,1,15,10,1.5,50,0,-30,0,0,0
22,1,1,15,10.5,1.5,-50,0,30,0,0,0
23,3,0,0,11,3,0,0,0,0,90,0
24,6,1,8,11.5,2,0,-40,0,0,0,0
25,1,1,12,12,1.5,45,0,25,0,0,0
26,1,1,12,12.5,1.5,-45,0,-25,0,0,0
27,1,1,15,13,1,-50,0,20,0,0,0
28,1,1,15,13.5,1,-50,0,-20,0,0,0
29,5,0,0,14,2.5,0,0,0,0,90,0
30,6,1,8,14.5,2,0,-40,0,0,0,0

