order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,25,1,40,6,3,30,10,0,0,-90,0
1,1,1,25,1,40,6,3,30,1,0,0,-90,0
2,1,1,25,1,40,6,3,-30,10,0,0,90,0
3,1,1,25,1,40,6,3,-30,1,0,0,90,0
4,1,1,20,2,40,6,3,30,9,0,0,-90,0
5,1,1,20,2,40,6,3,30,-1,0,0,-90,0
6,1,1,45,3,40,6,3,-30,9,0,0,90,0
7,1,1,45,3,40,6,3,-30,-1,0,0,90,0
8,1,1,25,4,40,6,3,30,10,0,0,-90,0
9,1,1,25,4,40,6,3,30,1,0,0,-90,0
10,1,1,25,4,40,6,3,-30,10,0,0,90,0
11,1,1,25,4,40,6,3,-30,1,0,0,90,0
12,1,1,20,5,40,6,3,30,9,0,0,-90,0
13,1,1,20,5,40,6,3,30,-1,0,0,-90,0
14,1,1,45,6,40,6,3,-30,9,0,0,90,0
15,1,1,45,6,40,6,3,-30,-1,0,0,90,0
16,1,1,25,7,40,6,3,30,10,0,0,-90,0
17,1,1,25,7,40,6,3,30,1,0,0,-90,0
18,1,1,25,7,40,6,3,-30,10,0,0,90,0
19,1,1,25,7,40,6,3,-30,1,0,0,90,0
