order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
-1,1,1,13,1,40,6,2.5,-30,1,0,0,90,0
-1,1,1,13,1.3,40,6,2.5,-30,1,0,0,90,0
-2,6,1,15,1,15,1,10,30,4,0,0,-90,0
-2,6,1,15,3,15,1,10,30,4,0,0,-90,0
-3,6,1,15,1,15,1,10,-30,4,15,0,90,0
-3,6,1,15,3,15,1,10,-30,4,15,0,90,0
-4,6,1,15,1,15,1,10,-30,4,-15,0,90,0
-4,6,1,15,3,15,1,10,-30,4,-15,0,90,0
-6,1,1,15,1,1,15,3,15,35,15,90,0,0
-6,1,1,15,2.5,1,15,3,15,35,15,90,0,0
-7,1,1,15,1,1,15,3,15,35,-15,90,0,0
-7,1,1,15,2.5,1,15,3,15,35,-15,90,0,0
-8,1,1,15,1,1,15,3,-15,35,15,90,0,0
-8,1,1,15,2.5,1,15,3,-15,35,15,90,0,0
-9,1,1,15,1,1,15,3,-15,35,-15,90,0,0
-9,1,1,15,2.5,1,15,3,-15,35,-15,90,0,0
