order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,2,1,35,1,40,15,3,30,5,0,0,-90,0
1,1,1,35,1.5,40,3,3,30,0,0,0,-90,0
0,2,1,35,2.2,40,15,3,30,5,0,0,-90,0
1,1,1,35,2.7,40,3,3,30,0,0,0,-90,0
0,2,1,35,3.4,40,15,3,30,5,0,0,-90,0
1,1,1,35,3.9,40,3,3,30,0,0,0,-90,0
0,2,1,35,6.5,40,15,3,-30,5,0,0,90,0
1,1,1,35,7,40,3,3,-30,0,0,0,90,0
0,2,1,35,7.7,40,15,3,-30,5,0,0,90,0
1,1,1,35,8.2,40,3,3,-30,0,0,0,90,0
0,2,1,35,8.9,40,15,3,-30,5,0,0,90,0
1,1,1,35,9.4,40,3,3,-30,0,0,0,90,0
