order,type,isMove,speed,genTime,sizeX,sizeY,sizeZ,positionX,positionY,positionZ,rotationX,rotationY,rotationZ
0,1,1,15,1,40,6,2.5,-30,1,0,0,90,0
1,1,1,15,1.2,40,6,2.5,-30,1,0,0,90,0
2,1,1,15,1.4,40,6,2.5,-30,1,0,0,90,0
3,1,1,15,1.6,40,6,2.5,-30,1,0,0,90,0
4,1,1,15,1.8,40,6,2.5,-30,1,0,0,90,0
5,1,1,15,2,40,6,2.5,-30,1,0,0,90,0
5,6,1,15,2,10,2,10,-30,5,10,0,90,0
6,1,1,15,2.2,40,6,2.5,-30,1,0,0,90,0
7,1,1,15,2.4,40,6,2.5,-30,1,0,0,90,0
8,1,1,15,2.6,40,6,2.5,-30,1,0,0,90,0
9,1,1,15,2.8,40,6,2.5,-30,1,0,0,90,0
10,1,1,15,3,40,6,2.5,-30,1,0,0,90,0
11,1,1,15,3.2,40,6,2.5,-30,1,0,0,90,0
12,1,1,15,3.4,40,6,2.5,-30,1,0,0,90,0
13,1,1,15,3.6,40,6,2.5,-30,1,0,0,90,0
14,1,1,15,3.8,40,6,2.5,-30,1,0,0,90,0
15,1,1,15,4,40,6,2.5,-30,1,0,0,90,0
5,6,1,15,4,10,2,10,-30,5,-10,0,90,0
16,1,1,15,4.2,40,6,2.5,-30,1,0,0,90,0
17,1,1,15,4.4,40,6,2.5,-30,1,0,0,90,0
18,1,1,15,4.6,40,6,2.5,-30,1,0,0,90,0
19,1,1,15,4.8,40,6,2.5,-30,1,0,0,90,0
20,1,1,15,5,40,6,2.5,-30,1,0,0,90,0
21,1,1,15,5.2,40,6,2.5,-30,1,0,0,90,0
22,1,1,15,5.4,40,6,2.5,-30,1,0,0,90,0
23,1,1,15,5.6,40,6,2.5,-30,1,0,0,90,0
24,1,1,15,5.8,40,6,2.5,-30,1,0,0,90,0
25,1,1,15,6,40,6,2.5,-30,1,0,0,90,0
5,6,1,15,6,10,2,10,-30,5,10,0,90,0
5,1,1,15,6,10,30,10,-30,27,10,0,90,0
26,1,1,15,6.2,40,6,2.5,-30,1,0,0,90,0
27,1,1,15,6.4,40,6,2.5,-30,1,0,0,90,0
28,1,1,15,6.6,40,6,2.5,-30,1,0,0,90,0
29,1,1,15,6.8,40,6,2.5,-30,1,0,0,90,0
30,1,1,15,7,40,6,2.5,-30,1,0,0,90,0
31,1,1,15,7.2,40,6,2.5,-30,1,0,0,90,0
